"longitude" "latitude" "date" "ozone"
"-82.61889" "27.48056" "08-01-2001" "23.625"
"-82.52222" "27.44944" "08-01-2001" "21.25"
"-82.10083" "29.17028" "08-01-2001" "26.25"
"-82.17333" "29.1925" "08-01-2001" "23.75"
"-80.44861" "25.92417" "08-01-2001" "18"
"-80.162" "25.733" "08-01-2001" "28.125"
"-80.327" "25.586" "08-01-2001" "34"
"-80.68333" "25.38833" "08-01-2001" "25.286"
"-81.38139" "28.45417" "08-01-2001" "15.286"
"-81.36305" "28.59944" "08-01-2001" "18.75"
"-81.63667" "28.34722" "08-01-2001" "19.5"
"-80.234" "26.731" "08-01-2001" "19.75"
"-80.075" "26.466" "08-01-2001" "25.286"
"-82.30583" "28.33194" "08-01-2001" "26.875"
"-82.75806" "28.195" "08-01-2001" "34.125"
"-82.73194" "27.94639" "08-01-2001" "21"
"-82.74" "27.78556" "08-01-2001" "19.143"
"-82.70084" "28.09" "08-01-2001" "20.75"
"-82.00027" "27.93944" "08-01-2001" "23.875"
"-81.97222" "28.02917" "08-01-2001" "22"
"-80.40833" "27.44889" "08-01-2001" "18.875"
"-86.89" "30.408" "08-01-2001" "41.75"
"-82.57056" "27.30694" "08-01-2001" "23.857"
"-82.48" "27.35028" "08-01-2001" "24.125"
"-81.31" "28.74556" "08-01-2001" "22.75"
"-80.99389" "29.10889" "08-01-2001" "33.75"
"-81.05305" "29.20667" "08-01-2001" "37.125"
"-84.16194" "30.09306" "08-01-2001" "36.375"
"-83.54472" "32.80305" "08-01-2001" "54.25"
"-81.04889" "32.06833" "08-01-2001" "27.625"
"-84.55473" "34.32028" "08-01-2001" "47.625"
"-84.6075" "34.01444" "08-01-2001" "62.25"
"-84.74611" "33.40389" "08-01-2001" "48.875"
"-84.05611" "34.37778" "08-01-2001" "45.143"
"-84.29028" "33.6875" "08-01-2001" "50.625"
"-84.21361" "33.84778" "08-01-2001" "53.375"
"-84.77889" "33.74333" "08-01-2001" "64.25"
"-84.42028" "33.45555" "08-01-2001" "52.125"
"-84.35778" "33.72055" "08-01-2001" "51.125"
"-81.49639" "31.16944" "08-01-2001" "33.375"
"-84.06639" "33.96361" "08-01-2001" "49.25"
"-84.16167" "33.43472" "08-01-2001" "45.75"
"-84.62695" "34.785" "08-01-2001" "44.125"
"-84.84333" "32.53944" "08-01-2001" "59"
"-85.04528" "33.92833" "08-01-2001" "66.375"
"-82.02194" "33.43333" "08-01-2001" "57.5"
"-84.06667" "33.58556" "08-01-2001" "47"
"-84.07944" "31.95306" "08-01-2001" "52.875"
"-116.22346" "43.58946" "08-01-2001" "48.25"
"-113.56223" "43.46056" "08-01-2001" "46.714"
"-115.85322" "43.28656" "08-01-2001" "53.125"
"-91.40417" "39.93278" "08-01-2001" "55"
"-88.22945" "40.12361" "08-01-2001" "73.5"
"-87.66842" "39.21088" "08-01-2001" "60.25"
"-87.7325" "41.67083" "08-01-2001" "64.625"
"-87.54528" "41.75583" "08-01-2001" "70.75"
"-87.63556" "41.87917" "08-01-2001" "58.875"
"-87.56861" "41.70722" "08-01-2001" "58"
"-87.60167" "41.79083" "08-01-2001" "65.571"
"-87.6075" "41.89583" "08-01-2001" "67.875"
"-87.65861" "41.96417" "08-01-2001" "71.75"
"-87.79195" "41.98444" "08-01-2001" "73.125"
"-87.99055" "41.66806" "08-01-2001" "60.375"
"-87.7525" "41.85528" "08-01-2001" "61.375"
"-87.90528" "42.02778" "08-01-2001" "67.5"
"-87.79916" "42.14" "08-01-2001" "69.6875"
"-87.67415" "42.06179" "08-01-2001" "75.25"
"-87.56805" "41.63139" "08-01-2001" "60.857"
"-88.07278" "41.81306" "08-01-2001" "61"
"-88.54889" "39.06702" "08-01-2001" "63.375"
"-88.49311" "37.99822" "08-01-2001" "69.125"
"-90.32417" "39.11031" "08-01-2001" "82.25"
"-88.27306" "42.04944" "08-01-2001" "57.25"
"-87.84139" "42.38694" "08-01-2001" "67.125"
"-87.81002" "42.46753" "08-01-2001" "64.875"
"-87.98167" "42.29056" "08-01-2001" "56.75"
"-88.2421" "42.22142" "08-01-2001" "61.5"
"-88.99701" "40.51866" "08-01-2001" "70.875"
"-88.92555" "39.86694" "08-01-2001" "68"
"-89.80944" "39.39611" "08-01-2001" "66.75"
"-90.14806" "38.89028" "08-01-2001" "68.5"
"-89.95992" "38.72637" "08-01-2001" "62.286"
"-90.03972" "38.79333" "08-01-2001" "58.25"
"-90.10583" "38.86056" "08-01-2001" "65.143"
"-89.60686" "40.68749" "08-01-2001" "58.25"
"-89.58611" "40.745" "08-01-2001" "67"
"-89.78833" "38.17611" "08-01-2001" "57.75"
"-90.51722" "41.51472" "08-01-2001" "52.25"
"-90.16028" "38.61222" "08-01-2001" "60.286"
"-89.60472" "39.84389" "08-01-2001" "57.571"
"-88.05509" "41.57571" "08-01-2001" "75.125"
"-88.19095" "41.22159" "08-01-2001" "69.875"
"-89.07694" "42.28722" "08-01-2001" "60.5"
"-89.03806" "42.335" "08-01-2001" "60.5"
"-85.01722" "41.22167" "08-01-2001" "74.375"
"-85.10194" "41.09472" "08-01-2001" "61.571"
"-86.39517" "39.99748" "08-01-2001" "80.5"
"-86.55305" "40.54056" "08-01-2001" "66.857"
"-85.69028" "38.37695" "08-01-2001" "82.5"
"-85.24556" "40.3" "08-01-2001" "64.286"
"-85.83417" "38.30806" "08-01-2001" "84.75"
"-87.46589" "38.42525" "08-01-2001" "59.5"
"-86.99012" "38.98558" "08-01-2001" "70.25"
"-86.0005" "40.05609" "08-01-2001" "96.125"
"-85.84052" "39.93501" "08-01-2001" "86.75"
"-86.39715" "39.75897" "08-01-2001" "75"
"-85.38" "40.96056" "08-01-2001" "67.714"
"-86.08052" "38.9208" "08-01-2001" "73.5"
"-86.1524" "39.4172" "08-01-2001" "72.125"
"-87.30473" "41.60667" "08-01-2001" "67.75"
"-87.4175" "41.26389" "08-01-2001" "61.714"
"-87.49361" "41.63944" "08-01-2001" "80.875"
"-86.9075" "41.71695" "08-01-2001" "66.75"
"-86.68472" "41.62917" "08-01-2001" "64.625"
"-85.65694" "40.0025" "08-01-2001" "81.75"
"-86.24879" "39.64626" "08-01-2001" "69.625"
"-86.02134" "39.85896" "08-01-2001" "87.125"
"-86.18624" "39.74889" "08-01-2001" "67.375"
"-86.06084" "39.78917" "08-01-2001" "7.8571"
"-86.47791" "39.5756" "08-01-2001" "65.875"
"-86.575" "38.20694" "08-01-2001" "86.75"
"-87.08694" "41.63139" "08-01-2001" "66.125"
"-87.19917" "41.6175" "08-01-2001" "65.5"
"-87.71833" "38.00528" "08-01-2001" "62.375"
"-86.37056" "41.55167" "08-01-2001" "62.25"
"-86.11056" "41.74258" "08-01-2001" "77.714"
"-86.23666" "41.69361" "08-01-2001" "77.625"
"-85.87358" "39.61129" "08-01-2001" "76.25"
"-87.56944" "38.02167" "08-01-2001" "66.625"
"-87.53694" "38.11389" "08-01-2001" "66.25"
"-87.40139" "39.48611" "08-01-2001" "80.875"
"-87.31306" "39.56055" "08-01-2001" "68.875"
"-87.31416" "37.9375" "08-01-2001" "64.75"
"-87.27834" "38.05194" "08-01-2001" "73.125"
"-87.34139" "38.19444" "08-01-2001" "72.875"
"-92.51305" "42.74306" "08-01-2001" "41.75"
"-90.17744" "41.87497" "08-01-2001" "57.125"
"-95.94597" "41.78205" "08-01-2001" "64.75"
"-91.65195" "41.91056" "08-01-2001" "39.5"
"-91.52695" "42.28056" "08-01-2001" "50"
"-94.69334" "43.12333" "08-01-2001" "33.714"
"-90.52194" "41.69917" "08-01-2001" "53.75"
"-90.43083" "41.6475" "08-01-2001" "47.875"
"-93.69611" "41.88083" "08-01-2001" "40.375"
"-91.99445" "40.68917" "08-01-2001" "57"
"-93.56667" "41.25195" "08-01-2001" "46.75"
"-94.73194" "38.13583" "08-01-2001" "57.75"
"-97.33722" "37.78139" "08-01-2001" "56.125"
"-97.31389" "37.70111" "08-01-2001" "65.25"
"-99.76361" "38.77028" "08-01-2001" "54.875"
"-94.63556" "39.1175" "08-01-2001" "49.875"
"-83.73695" "36.60806" "08-01-2001" "52"
"-84.85278" "38.91806" "08-01-2001" "82.25"
"-82.62111" "38.46583" "08-01-2001" "80.5"
"-85.71306" "37.98556" "08-01-2001" "72.5"
"-84.45194" "39.06556" "08-01-2001" "100.38"
"-82.98833" "38.23833" "08-01-2001" "75.75"
"-87.32361" "36.91167" "08-01-2001" "70.75"
"-87.07555" "37.78083" "08-01-2001" "68.625"
"-86.14806" "37.13139" "08-01-2001" "73.5"
"-84.46833" "38.12583" "08-01-2001" "63.875"
"-84.5" "38.065" "08-01-2001" "59.875"
"-88.49361" "36.89917" "08-01-2001" "25.75"
"-82.73167" "38.54833" "08-01-2001" "92.25"
"-86.89694" "37.93889" "08-01-2001" "72.875"
"-85.85167" "37.70639" "08-01-2001" "69.375"
"-87.57528" "37.85889" "08-01-2001" "58"
"-87.46333" "37.87139" "08-01-2001" "60.286"
"-85.57833" "38.13722" "08-01-2001" "61.625"
"-85.89611" "38.06083" "08-01-2001" "62.625"
"-85.71167" "38.26361" "08-01-2001" "74"
"-84.58916" "37.89333" "08-01-2001" "51.75"
"-84.525" "39.0725" "08-01-2001" "81.625"
"-88.39306" "37.15556" "08-01-2001" "66.25"
"-88.33417" "37.07083" "08-01-2001" "62.375"
"-88.5725" "37.05806" "08-01-2001" "60.5"
"-87.25389" "37.60639" "08-01-2001" "68.75"
"-87.15833" "37.22722" "08-01-2001" "79.125"
"-85.44334" "38.39861" "08-01-2001" "79.75"
"-83.22028" "37.28305" "08-01-2001" "51"
"-82.53528" "37.48278" "08-01-2001" "75.375"
"-84.61166" "37.0975" "08-01-2001" "63.625"
"-84.56" "38.38583" "08-01-2001" "55.429"
"-86.56639" "36.70861" "08-01-2001" "87.286"
"-88.01361" "36.90139" "08-01-2001" "47.714"
"-86.25056" "37.03667" "08-01-2001" "78.25"
"-90.96833" "30.23389" "08-01-2001" "40.571"
"-93.14389" "30.49194" "08-01-2001" "37.625"
"-93.74973" "32.53417" "08-01-2001" "62.875"
"-93.85972" "32.67639" "08-01-2001" "52.625"
"-93.37194" "30.14333" "08-01-2001" "36.25"
"-93.28416" "30.26167" "08-01-2001" "33.875"
"-93.57833" "30.22778" "08-01-2001" "31.25"
"-91.18333" "30.41889" "08-01-2001" "46.5"
"-91.17694" "30.46111" "08-01-2001" "44.625"
"-91.05583" "30.70028" "08-01-2001" "32.429"
"-91.20695" "30.58722" "08-01-2001" "43.375"
"-92.4603" "31.5023" "08-01-2001" "44.375"
"-91.425" "30.4" "08-01-2001" "46.5"
"-91.31611" "30.22056" "08-01-2001" "41.75"
"-91.12995" "30.20699" "08-01-2001" "45.75"
